front,phonetic,translation,sentence,sentence_translation
"Ze maakt een muurschildering in haar kamer.", "ze maakt ayn muurschildering in haar kamer", "Dia sedang membuat lukisan dinding di kamarnya.", "Ze is bezig met het schilderen van een kleurrijke muurschildering op haar slaapkamermuur.", "Dia sedang melukis mural berwarna-warni di dinding kamarnya."
"Ik bouw een boomhut voor mijn kinderen.", "ik bouw ayn boomhut voor mijn kinderen", "Saya sedang membangun rumah pohon untuk anak-anak saya.", "Ik ben aan het overleggen waar ik het raam in de boomhut wil plaatsen.", "Saya sedang mempertimbangkan di mana saya ingin menempatkan jendela di rumah pohon."
"We houden een kookwedstrijd thuis.", "we houden ayn kookwedstrijd thuis", "Kami sedang mengadakan lomba masak di rumah.", "We zijn bezig met het voorbereiden van ingrediënten voor onze thuis kookwedstrijd.", "Kami sedang menyiapkan bahan-bahan untuk lomba masak di rumah kami."
"Ze schrijft liedjes op haar ukelele.", "ze schrijft liedjes op haar ukelele", "Dia sedang menulis lagu di ukelelenya.", "Ze is een vrolijk deuntje aan het componeren voor haar nieuwste ukelele liedje.", "Dia sedang menciptakan melodi ceria untuk lagu ukelele terbarunya."
"Ik maak een groentetuin in mijn achtertuin.", "ik maak ayn groentetuin in mijn achtertuin", "Saya sedang membuat kebun sayuran di halaman belakang saya.", "Ik ben bezig met het planten van tomatenplanten in mijn nieuwe groentetuin.", "Saya sedang menanam pohon tomat di kebun sayuran baru saya."
"We organiseren een speurtocht voor de buurtkinderen.", "we organiseren ayn speurtocht voor de buurtkinderen", "Kami sedang mengorganisir permainan cari-cari untuk anak-anak sekitar.", "We zijn bezig met het verstoppen van aanwijzingen voor de speurtocht morgen.", "Kami sedang menyembunyikan petunjuk untuk permainan cari-cari besok."
"Hij bouwt een modeltreinbaan.", "hy bouwt ayn modeltreinbaan", "Dia sedang membangun jalur kereta api model.", "Hij is bezig met het schilderen van de miniatuurhuizen voor zijn modeltreinbaan.", "Dia sedang melukis rumah-rumah miniatur untuk jalur kereta api modelnya."
"Ze oefent voor een triatlon.", "ze oefent voor ayn triatlon", "Dia sedang berlatih untuk triatlon.", "Ze is haar zwemtechniek aan het verbeteren voor de komende triatlon.", "Dia sedang memperbaiki teknik renangnya untuk triatlon yang akan datang."
"Ik leer jongleren met drie ballen.", "ik leer jongleren met drie ballen", "Saya sedang belajar jongleren dengan tiga bola.", "Ik ben thuis aan het oefenen om te jongleren zonder de ballen te laten vallen.", "Saya sedang berlatih di rumah untuk jongleren tanpa menjatuhkan bola."
"We houden een barbecue in het park.", "we houden ayn barbecue in het park", "Kami sedang mengadakan barbekyu di taman.", "We zijn bezig met het marineren van vlees voor onze barbecue in het park later.", "Kami sedang merendam daging untuk barbekyu di taman nanti."
"Hij bouwt een zandkasteel aan het strand.", "hy bouwt ayn zandkasteel aan het strand", "Dia sedang membangun istana pasir di pantai.", "Hij gebruikt een schep en emmer om een indrukwekkend zandkasteel te bouwen.", "Dia menggunakan sekop dan ember untuk membangun istana pasir yang mengesankan."
"Ze maakt een scrapbook van haar reisfoto's.", "ze maakt ayn scrapbook van haar reisfoto's", "Dia sedang membuat scrapbook dari foto-foto perjalanannya.", "Ze is bezig met het plakken van foto's en souvenirs in haar reis scrapbook.", "Dia sedang menempelkan foto-foto dan suvenir di scrapbook perjalanannya."
"Ik brouw mijn eigen kombucha.", "ik brouw mijn eigen kombucha", "Saya sedang membuat kombucha sendiri.", "Ik ben bezig met het bottelen van mijn laatste batch zelfgemaakte kombucha.", "Saya sedang mengisi botol dengan batch terakhir kombucha buatan saya."
"We geven een tuinfeest voor onze vrienden.", "we geven ayn tuinfeest voor onze vrienden", "Kami sedang mengadakan pesta kebun untuk teman-teman kami.", "We zijn bezig met het ophangen van lichtjes voor ons tuinfeest vanavond.", "Kami sedang memasang lampu untuk pesta kebun kami malam ini."
"Hij maakt een kajaktocht langs de kust.", "hy maakt ayn kajaktocht langs de kust", "Dia sedang melakukan perjalanan kajak di sepanjang pantai.", "Hij is zijn kajak aan het laden voor een avontuurlijke tocht langs de kust.", "Dia sedang memuat kajaknya untuk perjalanan petualangan di sepanjang pantai."
"Ze geeft yogales in het park.", "ze geeft yogales in het park", "Dia sedang mengajar yoga di taman.", "Ze bereidt een serie asanas voor voor haar buitenyogales vanochtend.", "Dia sedang mempersiapkan serangkaian asana untuk kelas yoga outdoor nya pagi ini."
"Ik bouw een schaalmodel van het zonnestelsel.", "ik bouw ayn schaalmodel van het zonnestelsel", "Saya sedang membangun model skala tata surya.", "Ik ben aan het knutselen om de planeten voor mijn zonnestelselmodel te schilderen.", "Saya sedang menghias untuk melukis planet-planet untuk model tata surya saya."
"We organiseren een talentenjacht op school.", "we organiseren ayn talentenjacht op school", "Kami sedang mengorganisir pertunjukan bakat di sekolah.", "We zijn bezig met het opstellen van de line-up voor de schooltalentenjacht volgende week.", "Kami sedang menyusun daftar urutan penampilan untuk pertunjukan bakat sekolah minggu depan."
"Hij leert goocheltrucs van YouTube.", "hy leert goocheltrucs van YouTube", "Dia sedang belajar trik sulap dari YouTube.", "Hij oefent een kaarttruc die hij op YouTube heeft geleerd.", "Dia sedang mempraktekkan trik kartu yang dia pelajari dari YouTube."
"Ze is een moestuin aan het aanleggen op haar balkon.", "ze is ayn moestuin aan het aanleggen op haar balkon", "Dia sedang membuat kebun sayur di balkonnya.", "Ze plant basilicum en tomaten in potten op haar balkon.", "Dia sedang menanam basil dan tomat di pot di balkonnya."
"Ik leer hoe ik een drone kan vliegen.", "ik leer hoe ik ayn drone kan vliegen", "Saya sedang belajar bagaimana cara menerbangkan drone.", "Ik oefen om mijn drone veilig te landen in het park.", "Saya sedang berlatih mendaratkan drone saya dengan aman di taman."
"We houden een picknick aan de rivieroever.", "we houden ayn picknick aan de rivieroever", "Kami sedang mengadakan piknik di tepi sungai.", "We zijn sandwiches aan het maken voor onze picknick aan de rivieroever.", "Kami sedang membuat sandwich untuk piknik kami di tepi sungai."
"Hij maakt een wandeltocht door het bos.", "hy maakt ayn wandeltocht door het bos", "Dia sedang berjalan kaki melalui hutan.", "Hij is zijn rugzak aan het inpakken voor een lange wandeltocht morgen.", "Dia sedang memasukkan barang-barang ke dalam tas ranselnya untuk perjalanan jauh besok."
"Ze organiseert een fondsenwerving voor een goed doel.", "ze organiseert ayn fondsenwerving voor ayn goed doel", "Dia sedang mengorganisir penggalangan dana untuk amal.", "Ze stuurt uitnodigingen uit voor een liefdadigheidsevenement dat ze volgende maand organiseert.", "Dia sedang mengirimkan undangan untuk acara amal yang dia selenggarakan bulan depan."
"Ik leer flamenco dansen.", "ik leer flamenco dansen", "Saya sedang belajar menari flamenco.", "Ik heb een nieuwe danspas geleerd in mijn flamenco-les gisteravond.", "Saya belajar gerakan dans baru di kelas flamenco saya semalam."
"Hij is een modelvliegtuig aan het bouwen.", "hy is ayn modelvliegtuig aan het bouwen", "Dia sedang membangun model pesawat.", "Hij is bezig met het lijmen van de vleugels op zijn modelvliegtuig.", "Dia sedang mengelem sayap pada model pesawatnya."
"Ze bakt cupcakes voor de schoolbakverkoop.", "ze bakt cupcakes voor de schoolbakverkoop", "Dia sedang memanggang cupcakes untuk penjualan kue sekolah.", "Ze is bezig met het versieren van haar zelfgemaakte cupcakes met glazuur en sprinkles.", "Dia sedang menghias cupcakes buatannya dengan glasur dan taburan."
"Ik leer surfen deze zomer.", "ik leer surfen deze zomer", "Saya sedang belajar selancar musim panas ini.", "Ik ben van plan om elke ochtend te oefenen om op mijn surfplank te staan.", "Saya berencana berlatih setiap pagi untuk berdiri di papan selancar saya."
"We geven een verrassingsfeestje voor onze vriend's verjaardag.", "we geven ayn verrassingsfeestje voor onze vriend's verjaardag", "Kami sedang merencanakan pesta kejutan untuk ulang tahun teman kami.", "We zijn aan het plannen om de woonkamer te versieren terwijl hij op het werk is.", "Kami sedang merencanakan untuk mendekorasi ruang tamu saat dia sedang bekerja."
"Hij gaat bungeejumpen van de brug.", "hy gaat bungeejumpen van de brug", "Dia akan bungee jumping dari jembatan.", "Hij is bezig met het controleren van zijn veiligheidsharnas voordat hij van de brug springt.", "Dia sedang memeriksa harnas keamanannya sebelum melompat dari jembatan."
"Ze doet vrijwilligerswerk bij het dierenasiel.", "ze doet vrijwilligerswerk bij het dierenasiel", "Dia sedang melakukan kerja sukarela di penampungan hewan.", "Ze is aan het helpen om de honden uit te laten bij het lokale dierenasiel.", "Dia sedang membantu mengajak anjing-anjing berjalan-jalan di penampungan hewan setempat."
"Ik leer portretfotografie.", "ik leer portretfotografie", "Saya sedang belajar fotografi potret.", "Ik ben aan het experimenteren met verschillende belichtingstechnieken voor mijn portretfotografie.", "Saya sedang bereksperimen dengan teknik pencahayaan yang berbeda untuk fotografi potret saya."
"We organiseren een filmavond bij ons thuis.", "we organiseren ayn filmavond by ons thuis", "Kami sedang mengorganisir malam nonton film di rumah.", "We zijn aan het kiezen welke films we vanavond gaan bekijken.", "Kami sedang memilih film apa yang akan kami tonton malam ini."
"Hij bouwt een vogelhuisje.", "hy bouwt ayn vogelhuisje", "Dia sedang membangun rumah burung.", "Hij is bezig met het schilderen van het vogelhuisje dat hij zojuist heeft gebouwd.", "Dia sedang melukis rumah burung yang baru saja dia bangun."
"Ze maakt een muurschildering in haar kamer.", "ze maakt ayn muurschildering in haar kamer", "Dia sedang membuat mural di kamarnya.", "Ze is bezig met het schetsen van een ontwerp voor haar nieuwe muurschildering.", "Dia sedang membuat sketsa untuk desain mural baru nya."
"Ik leer hoe ik sushi moet maken.", "ik leer hoe ik sushi moet maken", "Saya sedang belajar bagaimana membuat sushi.", "Ik ben rijst aan het bereiden voor de sushi die ik vanavond ga maken.", "Saya sedang mempersiapkan nasi untuk sushi yang akan saya buat malam ini."
"We doen een trektocht door de bergen.", "we doen ayn trektocht door de bergen", "Kami sedang melakukan trekking di pegunungan.", "We pakken onze rugzakken in voor de driedaagse trektocht die we morgen beginnen.", "Kami sedang memasukkan barang-barang ke dalam tas ransel kami untuk perjalanan trekking tiga hari yang akan kami mulai besok."
"Hij traint voor een marathon.", "hy traint voor ayn marathon", "Dia sedang berlatih untuk maraton.", "Hij loopt elke ochtend lange afstanden om zich voor te bereiden op de marathon.", "Dia berlari jarak jauh setiap pagi untuk mempersiapkan diri untuk maraton."
"Ze bereidt een presentatie voor op het werk.", "ze bereidt ayn presentatie voor op het werk", "Dia sedang mempersiapkan presentasi untuk pekerjaannya.", "Ze is druk bezig met het maken van dia's voor haar werkpresentatie morgen.", "Dia sedang sibuk membuat slide untuk presentasi kerjanya besok."
